Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
23-01-2018,3MINDIA,EQ,18806.2,19196.8,19369.95,18500.1,18919,18721.85,18780.9,837,1.57196E+12,557,483,0.5771
24-01-2018,3MINDIA,EQ,18721.85,18913.55,18987.3,18701,18710,18703,18826.69,5085,9.57337E+12,563,4881,0.9599
25-01-2018,3MINDIA,EQ,18703,18892,18999,18624.55,18825,18854.8,18842.84,1857,3.49912E+12,377,1688,0.909
29-01-2018,3MINDIA,EQ,18854.8,18854.9,19297.9,18810,18891.25,18979,18975.78,2575,4.88626E+12,812,2022,0.7852
30-01-2018,3MINDIA,EQ,18979,18849.95,19000,18732.6,18849.9,18805.1,18837.83,4457,8.39602E+12,839,4166,0.9347
31-01-2018,3MINDIA,EQ,18805.1,18875,18875,18657,18800,18796.15,18796.43,8501,1.59788E+13,548,8076,0.95
01-02-2018,3MINDIA,EQ,18796.15,18995,19487,18775,19305,19282.05,19205.7,2613,5.01845E+12,839,1826,0.6988
02-02-2018,3MINDIA,EQ,19282.05,18815.6,19299.65,17755.55,18473,18317.5,19016.82,21196,4.03081E+13,1343,19744,0.9315
05-02-2018,3MINDIA,EQ,18317.5,18400,19317.65,18002,18950,18943.1,18931.74,6206,1.1749E+13,1338,4714,0.7596
06-02-2018,3MINDIA,EQ,18943.1,18887,18887,18200.05,18475,18462,18442.58,2756,5.08278E+12,741,1978,0.7177
07-02-2018,3MINDIA,EQ,18462,18600,18700,18300.05,18317.9,18468.85,18509.54,1480,2.73941E+12,370,1238,0.8365
08-02-2018,3MINDIA,EQ,18468.85,18326.1,18800,18326.1,18500,18515.1,18649.47,1717,3.20211E+12,496,1387,0.8078
09-02-2018,3MINDIA,EQ,18515.1,18598.85,19018.85,18315,18900,18924.45,18555.67,8807,1.6342E+13,665,8336,0.9465
12-02-2018,3MINDIA,EQ,18924.45,18920,22709.3,18920,21910,21706.7,21903.38,22085,4.83736E+13,4926,9882,0.4475
14-02-2018,3MINDIA,EQ,21706.7,21995,22000,20555,20700,20689.1,21371.51,4347,9.2902E+12,1935,2654,0.6105
15-02-2018,3MINDIA,EQ,20689.1,20872,21000,20306.35,20350.05,20402.9,20807.13,2372,4.93545E+12,992,1167,0.492
16-02-2018,3MINDIA,EQ,20402.9,20501.4,20730.05,19725.8,20050,19922.35,20222.38,1921,3.88472E+12,907,948,0.4935
19-02-2018,3MINDIA,EQ,19922.35,19999,21199,19602.15,20400,20218.6,20623.73,4786,9.87052E+12,2221,1634,0.3414
20-02-2018,3MINDIA,EQ,20218.6,20510.85,21436,20160.05,20500,20497.95,20801.6,3516,7.31384E+12,1609,1397,0.3973
21-02-2018,3MINDIA,EQ,20497.95,20799,20906,20430,20540,20543.45,20646.04,1446,2.98542E+12,661,682,0.4716
22-02-2018,3MINDIA,EQ,20543.45,20455,20886.35,20455,20835,20725.25,20707.73,1608,3.3298E+12,605,1162,0.7226
23-02-2018,3MINDIA,EQ,20725.25,20700,20931.35,20665.15,20688.05,20733.8,20762.96,1212,2.51647E+12,625,699,0.5767
26-02-2018,3MINDIA,EQ,20733.8,20931,20950.8,20612,20651.05,20691.65,20776.72,906,1.88237E+12,311,623,0.6876
27-02-2018,3MINDIA,EQ,20691.65,20650,20770,20451,20600,20564.8,20551.3,642,1.31939E+12,353,426,0.6636
28-02-2018,3MINDIA,EQ,20564.8,20400,20888.95,20400,20610,20717.4,20641.33,1344,2.77419E+12,724,871,0.6481
01-03-2018,3MINDIA,EQ,20717.4,20830.35,21670.25,20625,21050.3,21012.8,21085.88,3891,8.20452E+12,1893,2149,0.5523
05-03-2018,3MINDIA,EQ,21012.8,21001,21349.95,20716.95,20889,20832.6,20911.87,2602,5.44127E+12,1461,1537,0.5907
06-03-2018,3MINDIA,EQ,20832.6,20889,21099.65,20601.25,20735,20747.9,20781.49,2669,5.54658E+12,1037,1503,0.5631
07-03-2018,3MINDIA,EQ,20747.9,20705,20751,20344.5,20548,20428.85,20580.96,1155,2.3771E+12,456,989,0.8563
08-03-2018,3MINDIA,EQ,20428.85,20695,20698.95,20105.15,20306,20349.3,20323.25,1235,2.50992E+12,556,799,0.647
09-03-2018,3MINDIA,EQ,20349.3,20367.2,20913,20152,20158,20253.1,20276.04,2296,4.65538E+12,367,475,0.2069
12-03-2018,3MINDIA,EQ,20253.1,20590,20590,20081.05,20100,20108.5,20231.57,5596,1.13216E+13,487,5299,0.9469
13-03-2018,3MINDIA,EQ,20108.5,20199,20480.55,20001.05,20101,20171.7,20226.3,719,1.45427E+12,336,412,0.573
14-03-2018,3MINDIA,EQ,20171.7,20026.15,20349,20026.15,20101,20116.15,20169.67,526,1.06092E+12,277,319,0.6065
15-03-2018,3MINDIA,EQ,20116.15,20117,20300,19835.05,20050,20069.85,20087.11,1141,2.29194E+12,482,755,0.6617
16-03-2018,3MINDIA,EQ,20069.85,19960,20151.85,19670.6,20000,19991.6,19912.12,2113,4.20743E+12,515,1809,0.8561
19-03-2018,3MINDIA,EQ,19991.6,20151.5,20151.5,19601,19700,19689.15,19765.41,756,1.49426E+12,312,605,0.8003
20-03-2018,3MINDIA,EQ,19689.15,19700.05,19799,19550,19555,19608.65,19685.94,645,1.26974E+12,275,483,0.7488
21-03-2018,3MINDIA,EQ,19608.65,19620.6,19795,19499.7,19585.35,19530.95,19650.14,1026,2.0161E+12,319,815,0.7943
22-03-2018,3MINDIA,EQ,19530.95,19604.25,19741.95,19505,19505,19530.35,19612.52,745,1.46113E+12,189,603,0.8094
23-03-2018,3MINDIA,EQ,19530.35,19398.95,19500.05,18955,19150,19216.85,19099.81,2556,4.88191E+12,865,1859,0.7273
26-03-2018,3MINDIA,EQ,19216.85,19400,19400,18750.1,19000,19034.4,19056.04,1352,2.57638E+12,685,970,0.7175
27-03-2018,3MINDIA,EQ,19034.4,19397.6,19449,19001.1,19041,19043.1,19074.79,1099,2.09632E+12,679,801,0.7288
28-03-2018,3MINDIA,EQ,19043.1,19041,19499,19011.5,19298,19412.85,19369.78,886,1.71616E+12,470,607,0.6851
02-04-2018,3MINDIA,EQ,19412.85,19400.25,20199,19400.25,19900,19973.9,20011.23,2563,5.12888E+12,668,1761,0.6871
03-04-2018,3MINDIA,EQ,19973.9,20182.05,20300.15,19921,20179.95,20111.3,20146.38,1118,2.25237E+12,411,651,0.5823
04-04-2018,3MINDIA,EQ,20111.3,20111.3,21000.05,19851,20131,20105,20530.85,3744,7.68675E+12,1062,2513,0.6712
05-04-2018,3MINDIA,EQ,20105,20459,20720,20340,20650,20638.7,20619.51,874,1.80215E+12,451,468,0.5355
